postcode,state,long,lat
1190,NSW,151.268071,-33.794883
1191,NSW,151.268071,-33.794883
1192,NSW,147.685283,-34.790684
1193,NSW,151.268071,-33.794883
1194,NSW,151.268071,-33.794883
1195,NSW,151.268071,-33.794883
1196,NSW,151.268071,-33.794883
1197,NSW,151.268071,-33.794883
1198,NSW,151.268071,-33.794883
1199,NSW,151.268071,-33.794883
1201,NSW,151.268071,-33.794883
1202,NSW,151.268071,-33.794883
1203,NSW,151.268071,-33.794883
1205,NSW,151.268071,-33.794883
1207,NSW,151.268071,-33.794883
1208,NSW,151.659454,-29.816475
1209,NSW,151.176251,-33.891788
1210,NSW,151.176251,-33.891788
1211,NSW,151.176251,-33.891788
1212,NSW,151.176251,-33.891788
1213,NSW,151.176251,-33.891788
1214,NSW,151.176251,-33.891788
1215,NSW,151.176251,-33.891788
1216,NSW,151.034025,-33.741311
1217,NSW,151.034025,-33.741311
1218,NSW,151.034025,-33.741311
1219,NSW,151.034025,-33.741311
1220,NSW,151.034025,-33.741311
1221,NSW,151.207905,-33.86533
1222,NSW,151.207905,-33.86533
1223,NSW,151.207905,-33.86533
1224,NSW,151.207905,-33.86533
1225,NSW,151.207905,-33.86533
1226,NSW,151.206708,-33.871749
1227,NSW,151.206708,-33.871749
1228,NSW,151.206708,-33.871749
1229,NSW,151.206708,-33.871749
1230,NSW,151.206708,-33.871749
1231,NSW,151.042528,-33.815551
1232,NSW,151.042528,-33.815551
1233,NSW,151.042528,-33.815551
1234,NSW,151.042528,-33.815551
1235,NSW,151.042528,-33.815551
1236,NSW,151.659454,-29.816475
1237,NSW,151.659454,-29.816475
1238,NSW,151.659454,-29.816475
1239,NSW,151.659454,-29.816475
1240,NSW,151.659454,-29.816475
1291,NSW,151.268071,-33.794883
1292,NSW,151.268071,-33.794883
1293,NSW,151.268071,-33.794883
1294,NSW,151.268071,-33.794883
1295,NSW,151.268071,-33.794883
1296,NSW,151.268071,-33.794883
1297,NSW,151.268071,-33.794883
1298,NSW,151.268071,-33.794883
1299,NSW,151.268071,-33.794883
1300,NSW,151.220876,-33.877331
1314,NSW,151.21,-33.9508
1335,NSW,151.117575,-33.82269
1340,NSW,148.021014,-35.537721
1350,NSW,151.240508,-33.88871
1355,NSW,151.262502,-33.893739
1360,NSW,151.241938,-33.87584
1401,NSW,151.199825,-33.884217
1419,NSW,151.094,-34.0641
1420,NSW,150.931838,-33.726098
1422,NSW,150.931838,-33.726098
1423,NSW,150.931838,-33.726098
1424,NSW,150.931838,-33.726098
1425,NSW,150.931838,-33.726098
1426,NSW,150.931838,-33.726098
1427,NSW,150.931838,-33.726098
1428,NSW,150.931838,-33.726098
1429,NSW,150.931838,-33.726098
1430,NSW,151.199489,-33.890232
1435,NSW,151.108248,-33.711785
1440,NSW,151.057914,-33.902836
1441,NSW,151.057914,-33.902836
1445,NSW,151.007691,-34.083089
1450,NSW,153.13679,-30.305815
1455,NSW,151.197644,-33.947087
1460,NSW,151.210791,-33.926669
1465,NSW,151.140735,-33.888549
1466,NSW,151.234417,-33.906561
1470,NSW,151.151958,-33.842999
1475,NSW,151.15334,-33.90911
1476,NSW,151.15334,-33.90911
1480,NSW,151.100027,-33.935923
1481,NSW,151.101,-33.9646
1484,NSW,151.101,-33.9386
1485,NSW,151.140345,-33.974354
1490,NSW,151.107201,-34.035878
1493,NSW,151.088939,-33.975869
1495,NSW,151.123943,-34.046927
1499,NSW,151.0622,-34.015705
1515,NSW,151.207261,-33.824607
1560,NSW,151.214797,-33.812636
1565,NSW,151.193071,-33.865367
1570,NSW,151.192733,-33.808087
